track_set,limb_type,distance_cm
1,Pes,
1,Manus,
2,Pes,
2,Manus,
3,Pes,22.8
3,Manus,
4,Pes,25
4,Manus,32.5
5,Pes,22.3
5,Manus,24.6
6,Pes,19.8
6,Manus,18.7
7,Pes,27.5
7,Manus,21.5
8,Pes,29
8,Manus,25.9
9,Pes,29.3
9,Manus,27.6
10,Pes,31.7
10,Manus,31.5
11,Pes,33.6
11,Manus,35.6
12,Pes,34.3
12,Manus,38
13,Pes,37.8
13,Manus,29.7
14,Pes,34.7
14,Manus,37.2
15,Pes,29.9
15,Manus,37.5
16,Pes,32.7
16,Manus,23.6
17,Pes,30.3
17,Manus,25.3
18,Pes,31.2
18,Manus,28.5
