"Species" "SiteID" "Surface Type" "Plant growth type" "Biome" "Measure" "Value"
"60" "Schotia latifolia" "5b" "sandstone" "Tree" "Thicket" "Number of individuals in 2008" NA
"61" "Schotia latifolia" "5b" "sandstone" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 0
"62" "Schotia latifolia" "5b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"63" "Schotia latifolia" "5b" "sandstone" "Tree" "Thicket" "Number of individuals in 2012" 0
"64" "Smellophyllum capense" "2a" "shale" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 77
"65" "Smellophyllum capense" "2a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 0
"66" "Smellophyllum capense" "2a" "shale" "Tree" "Thicket" "Number of individuals in 1994" 1
"67" "Smellophyllum capense" "2a" "shale" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"68" "Smellophyllum capense" "2a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"69" "Smellophyllum capense" "2a" "shale" "Tree" "Thicket" "Number of individuals in 2008" NA
"70" "Smellophyllum capense" "2a" "shale" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 0
"71" "Smellophyllum capense" "2a" "shale" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"72" "Smellophyllum capense" "2a" "shale" "Tree" "Thicket" "Number of individuals in 2012" 0
"73" "Smellophyllum capense" "2b" "sandstone" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 176
"74" "Smellophyllum capense" "2b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 102
"75" "Smellophyllum capense" "2b" "sandstone" "Tree" "Thicket" "Number of individuals in 1994" 10
"76" "Smellophyllum capense" "2b" "sandstone" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"77" "Smellophyllum capense" "2b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"78" "Smellophyllum capense" "2b" "sandstone" "Tree" "Thicket" "Number of individuals in 2008" NA
"79" "Smellophyllum capense" "2b" "sandstone" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 0
"80" "Smellophyllum capense" "2b" "sandstone" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"81" "Smellophyllum capense" "2b" "sandstone" "Tree" "Thicket" "Number of individuals in 2012" 0
"82" "Smellophyllum capense" "3" "africa" "Tree" "Thicket" "Area cover in 1994 (cm^2)" 97
"83" "Smellophyllum capense" "3" "africa" "Tree" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" NA
"84" "Smellophyllum capense" "3" "africa" "Tree" "Thicket" "Number of individuals in 1994" 7
"85" "Smellophyllum capense" "3" "africa" "Tree" "Thicket" "Area cover in 2008 (cm^2)" NA
"86" "Smellophyllum capense" "3" "africa" "Tree" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"87" "Smellophyllum capense" "3" "africa" "Tree" "Thicket" "Number of individuals in 2008" NA
"88" "Smellophyllum capense" "3" "africa" "Tree" "Thicket" "Area cover in 2012 (cm^2)" 0
"89" "Smellophyllum capense" "3" "africa" "Tree" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"90" "Smellophyllum capense" "3" "africa" "Tree" "Thicket" "Number of individuals in 2012" 0
