"Plant growth type" "Total number of individual plants found across the years"
"1" "C3 grass" 244
"2" "C4 grass" 41
"3" "Ericoid" 180
"4" "Fynbos pioneer" 140
"5" "Protea" 897
"6" "Restio" 88
"7" "Succulent" 283
"8" "Tree" 746
