"SiteID" "Mean Restio area cover (cm^2)"
"1" "2a" 0
"2" "2b" 19.8333333333333
"3" "3" 7.66666666666667
"4" "4a" 56
"5" "4b" 92.2
"6" "5a" 1423.2
"7" "5b" 846
